element_id	gene_id	candidate_universe_id
c1E1	c1G1	toy_candidates
c1E1	c1G2	toy_candidates
c1E2	c1G1	toy_candidates
c1E2	c1G2	toy_candidates
c1E3	c1G1	toy_candidates
c1E3	c1G2	toy_candidates
c2E1	c2G1	toy_candidates
c2E1	c2G2	toy_candidates
c2E2	c2G1	toy_candidates
c2E2	c2G2	toy_candidates
c2E3	c2G1	toy_candidates
c2E3	c2G2	toy_candidates
c3E1	c3G1	toy_candidates
c3E1	c3G2	toy_candidates
c3E2	c3G1	toy_candidates
c3E2	c3G2	toy_candidates
c3E3	c3G1	toy_candidates
c3E3	c3G2	toy_candidates
c4E1	c4G1	toy_candidates
c4E1	c4G2	toy_candidates
c4E2	c4G1	toy_candidates
c4E2	c4G2	toy_candidates
c4E3	c4G1	toy_candidates
c4E3	c4G2	toy_candidates
