element_id	sample_id	assay	signal	measurement_status	callable_fraction	unit	normalization_id	window_id
c1E1	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c1E1	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c1E2	S_ATAC	ATAC	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c1E2	S_H3K27ac	H3K27ac	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c1E3	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c1E3	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c2E1	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c2E1	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c2E2	S_ATAC	ATAC	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c2E2	S_H3K27ac	H3K27ac	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c2E3	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c2E3	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c3E1	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c3E1	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c3E2	S_ATAC	ATAC	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c3E2	S_H3K27ac	H3K27ac	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c3E3	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c3E3	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c4E1	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c4E1	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c4E2	S_ATAC	ATAC	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c4E2	S_H3K27ac	H3K27ac	2.8	observed	1	toy_signal	toy_mean	grid:500:mean
c4E3	S_ATAC	ATAC	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
c4E3	S_H3K27ac	H3K27ac	1.0	observed	1	toy_signal	toy_mean	grid:500:mean
