element_id	promoter_id	sample_id	contact_value	measurement_status	bin_pair_id	scale	resolution	source_id	raw_count	count_to_contact	chrom	anchor0	tss0	normalization_id	balancing	window_id
c1E1	c1P1	S_Hi-C	3	observed	c1E1:P1	toy_contact	500	toy_source	3	1.0	c1	5249	10000	toy_mean	unbalanced	bin_pair
c1E2	c1P1	S_Hi-C	2	observed	c1E2:P1	toy_contact	500	toy_source	2	1.0	c1	20249	10000	toy_mean	unbalanced	bin_pair
c1E3	c1P1	S_Hi-C	2	observed	c1E3:P1	toy_contact	500	toy_source	2	1.0	c1	30249	10000	toy_mean	unbalanced	bin_pair
c1E1	c1P2	S_Hi-C	1	observed	c1E1:P2	toy_contact	500	toy_source	1	1.0	c1	5249	40000	toy_mean	unbalanced	bin_pair
c1E2	c1P2	S_Hi-C	2	observed	c1E2:P2	toy_contact	500	toy_source	2	1.0	c1	20249	40000	toy_mean	unbalanced	bin_pair
c1E3	c1P2	S_Hi-C	6	observed	c1E3:P2	toy_contact	500	toy_source	6	1.0	c1	30249	40000	toy_mean	unbalanced	bin_pair
c2E1	c2P1	S_Hi-C	3	observed	c2E1:P1	toy_contact	500	toy_source	3	1.0	c2	5249	10000	toy_mean	unbalanced	bin_pair
c2E2	c2P1	S_Hi-C	2	observed	c2E2:P1	toy_contact	500	toy_source	2	1.0	c2	20249	10000	toy_mean	unbalanced	bin_pair
c2E3	c2P1	S_Hi-C	2	observed	c2E3:P1	toy_contact	500	toy_source	2	1.0	c2	30249	10000	toy_mean	unbalanced	bin_pair
c2E1	c2P2	S_Hi-C	1	observed	c2E1:P2	toy_contact	500	toy_source	1	1.0	c2	5249	40000	toy_mean	unbalanced	bin_pair
c2E2	c2P2	S_Hi-C	2	observed	c2E2:P2	toy_contact	500	toy_source	2	1.0	c2	20249	40000	toy_mean	unbalanced	bin_pair
c2E3	c2P2	S_Hi-C	6	observed	c2E3:P2	toy_contact	500	toy_source	6	1.0	c2	30249	40000	toy_mean	unbalanced	bin_pair
c3E1	c3P1	S_Hi-C	3	observed	c3E1:P1	toy_contact	500	toy_source	3	1.0	c3	5249	10000	toy_mean	unbalanced	bin_pair
c3E2	c3P1	S_Hi-C	2	observed	c3E2:P1	toy_contact	500	toy_source	2	1.0	c3	20249	10000	toy_mean	unbalanced	bin_pair
c3E3	c3P1	S_Hi-C	2	observed	c3E3:P1	toy_contact	500	toy_source	2	1.0	c3	30249	10000	toy_mean	unbalanced	bin_pair
c3E1	c3P2	S_Hi-C	1	observed	c3E1:P2	toy_contact	500	toy_source	1	1.0	c3	5249	40000	toy_mean	unbalanced	bin_pair
c3E2	c3P2	S_Hi-C	2	observed	c3E2:P2	toy_contact	500	toy_source	2	1.0	c3	20249	40000	toy_mean	unbalanced	bin_pair
c3E3	c3P2	S_Hi-C	6	observed	c3E3:P2	toy_contact	500	toy_source	6	1.0	c3	30249	40000	toy_mean	unbalanced	bin_pair
c4E1	c4P1	S_Hi-C	3	observed	c4E1:P1	toy_contact	500	toy_source	3	1.0	c4	5249	10000	toy_mean	unbalanced	bin_pair
c4E2	c4P1	S_Hi-C	2	observed	c4E2:P1	toy_contact	500	toy_source	2	1.0	c4	20249	10000	toy_mean	unbalanced	bin_pair
c4E3	c4P1	S_Hi-C	2	observed	c4E3:P1	toy_contact	500	toy_source	2	1.0	c4	30249	10000	toy_mean	unbalanced	bin_pair
c4E1	c4P2	S_Hi-C	1	observed	c4E1:P2	toy_contact	500	toy_source	1	1.0	c4	5249	40000	toy_mean	unbalanced	bin_pair
c4E2	c4P2	S_Hi-C	2	observed	c4E2:P2	toy_contact	500	toy_source	2	1.0	c4	20249	40000	toy_mean	unbalanced	bin_pair
c4E3	c4P2	S_Hi-C	6	observed	c4E3:P2	toy_contact	500	toy_source	6	1.0	c4	30249	40000	toy_mean	unbalanced	bin_pair
