assay	quality_stratum	observed	predicted	target	split	group_id	input_donor	target_donor	input_measurement_id	target_measurement_id
ATAC	default	9	3	5.324555320336759	calibration	ATAC_0	D0	D0	ATAC_low_0	ATAC_independent_0
ATAC	default	9	3	5.324555320336759	calibration	ATAC_1	D1	D1	ATAC_low_1	ATAC_independent_1
ATAC	default	9	3	5.324555320336759	calibration	ATAC_2	D2	D2	ATAC_low_2	ATAC_independent_2
ATAC	default	9	3	5.324555320336759	calibration	ATAC_3	D3	D3	ATAC_low_3	ATAC_independent_3
ATAC	default	9	3	5.324555320336759	calibration	ATAC_4	D4	D4	ATAC_low_4	ATAC_independent_4
ATAC	default	9	3	5.324555320336759	calibration	ATAC_5	D5	D5	ATAC_low_5	ATAC_independent_5
ATAC	default	9	3	5.324555320336759	calibration	ATAC_6	D6	D6	ATAC_low_6	ATAC_independent_6
ATAC	default	9	3	5.324555320336759	calibration	ATAC_7	D7	D7	ATAC_low_7	ATAC_independent_7
ATAC	default	9	3	5.324555320336759	calibration	ATAC_8	D8	D8	ATAC_low_8	ATAC_independent_8
ATAC	default	9	3	5.324555320336759	calibration	ATAC_9	D9	D9	ATAC_low_9	ATAC_independent_9
ATAC	default	9	3	5.324555320336759	calibration	ATAC_10	D10	D10	ATAC_low_10	ATAC_independent_10
ATAC	default	9	3	5.324555320336759	calibration	ATAC_11	D11	D11	ATAC_low_11	ATAC_independent_11
ATAC	default	9	3	5.324555320336759	calibration	ATAC_12	D12	D12	ATAC_low_12	ATAC_independent_12
ATAC	default	9	3	5.324555320336759	calibration	ATAC_13	D13	D13	ATAC_low_13	ATAC_independent_13
ATAC	default	9	3	5.324555320336759	calibration	ATAC_14	D14	D14	ATAC_low_14	ATAC_independent_14
ATAC	default	9	3	5.324555320336759	calibration	ATAC_15	D15	D15	ATAC_low_15	ATAC_independent_15
ATAC	default	9	3	5.324555320336759	calibration	ATAC_16	D16	D16	ATAC_low_16	ATAC_independent_16
ATAC	default	9	3	5.324555320336759	calibration	ATAC_17	D17	D17	ATAC_low_17	ATAC_independent_17
ATAC	default	9	3	5.324555320336759	calibration	ATAC_18	D18	D18	ATAC_low_18	ATAC_independent_18
ATAC	default	9	3	5.324555320336759	calibration	ATAC_19	D19	D19	ATAC_low_19	ATAC_independent_19
ATAC	default	9	3	5.324555320336759	test	ATAC_20	D20	D20	ATAC_low_20	ATAC_independent_20
ATAC	default	9	3	5.324555320336759	test	ATAC_21	D21	D21	ATAC_low_21	ATAC_independent_21
ATAC	default	9	3	5.324555320336759	test	ATAC_22	D22	D22	ATAC_low_22	ATAC_independent_22
ATAC	default	9	3	5.324555320336759	test	ATAC_23	D23	D23	ATAC_low_23	ATAC_independent_23
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_0	D0	D0	H3K27ac_low_0	H3K27ac_independent_0
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_1	D1	D1	H3K27ac_low_1	H3K27ac_independent_1
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_2	D2	D2	H3K27ac_low_2	H3K27ac_independent_2
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_3	D3	D3	H3K27ac_low_3	H3K27ac_independent_3
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_4	D4	D4	H3K27ac_low_4	H3K27ac_independent_4
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_5	D5	D5	H3K27ac_low_5	H3K27ac_independent_5
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_6	D6	D6	H3K27ac_low_6	H3K27ac_independent_6
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_7	D7	D7	H3K27ac_low_7	H3K27ac_independent_7
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_8	D8	D8	H3K27ac_low_8	H3K27ac_independent_8
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_9	D9	D9	H3K27ac_low_9	H3K27ac_independent_9
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_10	D10	D10	H3K27ac_low_10	H3K27ac_independent_10
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_11	D11	D11	H3K27ac_low_11	H3K27ac_independent_11
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_12	D12	D12	H3K27ac_low_12	H3K27ac_independent_12
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_13	D13	D13	H3K27ac_low_13	H3K27ac_independent_13
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_14	D14	D14	H3K27ac_low_14	H3K27ac_independent_14
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_15	D15	D15	H3K27ac_low_15	H3K27ac_independent_15
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_16	D16	D16	H3K27ac_low_16	H3K27ac_independent_16
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_17	D17	D17	H3K27ac_low_17	H3K27ac_independent_17
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_18	D18	D18	H3K27ac_low_18	H3K27ac_independent_18
H3K27ac	default	9	3	5.324555320336759	calibration	H3K27ac_19	D19	D19	H3K27ac_low_19	H3K27ac_independent_19
H3K27ac	default	9	3	5.324555320336759	test	H3K27ac_20	D20	D20	H3K27ac_low_20	H3K27ac_independent_20
H3K27ac	default	9	3	5.324555320336759	test	H3K27ac_21	D21	D21	H3K27ac_low_21	H3K27ac_independent_21
H3K27ac	default	9	3	5.324555320336759	test	H3K27ac_22	D22	D22	H3K27ac_low_22	H3K27ac_independent_22
H3K27ac	default	9	3	5.324555320336759	test	H3K27ac_23	D23	D23	H3K27ac_low_23	H3K27ac_independent_23
