element_id	gene_id	assayed_region_id	mapping_count	group_id	split	label_status	effect_direction	A_used	Cbar	distance_bp	pace_score	regime	activity_sources	contact_sources	H3K4me1
train_0_0	G	train_0_0	1	train_0	train	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
train_0_1	G	train_0_1	1	train_0	train	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
train_1_0	G	train_1_0	1	train_1	train	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
train_1_1	G	train_1_1	1	train_1	train	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
train_2_0	G	train_2_0	1	train_2	train	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
train_2_1	G	train_2_1	1	train_2	train	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
train_3_0	G	train_3_0	1	train_3	train	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
train_3_1	G	train_3_1	1	train_3	train	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
train_4_0	G	train_4_0	1	train_4	train	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
train_4_1	G	train_4_1	1	train_4	train	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
train_5_0	G	train_5_0	1	train_5	train	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
train_5_1	G	train_5_1	1	train_5	train	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
calibration_0_0	G	calibration_0_0	1	calibration_0	calibration	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
calibration_0_1	G	calibration_0_1	1	calibration_0	calibration	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
calibration_1_0	G	calibration_1_0	1	calibration_1	calibration	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
calibration_1_1	G	calibration_1_1	1	calibration_1	calibration	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
test_0_0	G	test_0_0	1	test_0	test	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
test_0_1	G	test_0_1	1	test_0	test	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
test_1_0	G	test_1_0	1	test_1	test	powered_negative	none	1	1	100	0.5	measured	observed	observed	0
test_1_1	G	test_1_1	1	test_1	test	enhancing_positive	down	1	1	100	0.5	measured	observed	observed	10
