chr	start	end	name	ATAC_signal	H3K27ac_signal	activity
chr1	9006	9506	region_0	4562.5579408503445	4975.607859905541	4723.495366746518
chr1	12588	13088	region_1	2926.5809899478304	3148.6268488464752	3013.4556633160196
chr1	43935	44435	region_2	7271.00867067784	7813.25921750792	7483.240288044207
chr1	55142	55642	region_3	3580.9717703088363	3906.62960875396	3707.8438253856716
chr1	64476	64976	region_4	5071.528547797793	5442.071096771686	5216.617682939173
chr1	66970	67470	region_5	4798.865722647374	5189.403510135858	4951.424204653123
chr1	82378	82878	region_6	2744.8057731808844	2915.395230413403	2811.8098416695934
chr1	96743	97243	region_7	5798.629414865577	6238.945793084683	5970.898621757
chr1	100019	100519	region_8	2381.2553396469925	2662.727643777575	2490.0856122455198
chr1	123194	123694	region_9	5616.854198098631	6044.586111057122	5784.189569168397
chr1	148048	148548	region_10	5489.611546361769	5986.278206448855	5683.1317866660065
chr1	158165	158665	region_11	2308.545252940214	2526.6758663582827	2393.441671758362
chr1	168748	169248	region_12	1963.1723410830168	38.87193640551204	408.9116898704553
chr1	184244	184744	region_13	3889.9896388126444	4198.1691317953	4010.4493810857107
chr1	190669	191169	region_14	2835.6933815643574	3032.011039629939	2912.6471327873455
chr1	225834	226334	region_15	7398.251322414702	7929.875026724456	7606.4845144574365
chr1	239597	240097	region_16	4071.7648555795904	4373.0928456201045	4189.720897148508
chr1	254087	254587	region_17	1236.0714740152328	0.0	0.007165164249886103
chr1	258895	259395	region_18	7180.121062294367	7754.951312899652	7404.754943269244
chr1	259944	260444	region_19	5889.51702324905	6433.305475112243	6101.287336521633
chr1	266105	266605	region_20	3708.2144220456985	4023.2454179704964	3831.1531509474366
chr1	287364	287864	region_21	5362.368894624907	5791.918524421294	5530.227403436877
chr1	294095	294595	region_22	5107.883591151182	5539.250937785466	5276.245692759699
chr1	294931	295431	region_23	2726.62825150419	2915.395230413403	2800.6222430647545
chr1	328221	328721	region_24	1326.9590823987057	19.43596820275602	244.99487004476205
chr1	330254	330754	region_25	4398.960245760093	4722.940273269713	4525.796306886523
chr1	349251	349751	region_26	3162.88877174486	3440.166371887816	3271.0119459216357
chr1	354965	355465	region_27	2163.1250795266574	19.43596820275602	328.46677882781563
chr1	363530	364030	region_28	7543.671495828259	8143.670676954773	7778.175570382897
chr1	382730	383230	region_29	4671.623070910512	5014.479796311053	4805.859069254839
chr1	383492	383992	region_30	5689.564284805409	6200.073856679171	5888.519945561538
chr1	389737	390237	region_31	5471.434024685074	5850.2264290295625	5619.915301083283
chr1	405746	406246	region_32	5889.51702324905	6374.997570503974	6079.10742979107
chr1	427382	427882	region_33	4235.362550669842	4586.88849585042	4372.6189086960885
chr1	463876	464376	region_34	7398.251322414702	7988.182931332724	7628.807370315388
chr1	480212	480712	region_35	3162.88877174486	3420.7304036850596	3263.6072616257848
chr1	491429	491929	region_36	5962.227109955828	6433.305475112243	6146.3711038227775
chr1	503490	503990	region_37	5307.836329594823	5772.482556218538	5489.029505517227
chr1	507054	507554	region_38	2399.432861323687	2565.5478027637946	2464.547573896988
chr1	509166	509666	region_39	4907.930852707542	5306.019319352394	5063.450771597763
chr1	523838	524338	region_40	5853.161979895661	6297.2536976929505	6026.91132663205
chr1	527865	528365	region_41	4144.474942286369	4450.836718431128	4264.404331616435
chr1	530394	530894	region_42	3217.421336774944	3498.474276496084	3327.0263197534914
chr1	560542	561042	region_43	4544.38041917365	4956.171891702786	4704.823677806054
chr1	592634	593134	region_44	5362.368894624907	5791.918524421294	5530.227403436877
chr1	604686	605186	region_45	3453.7291185719737	3712.2699267263997	3554.911408091009
chr1	605083	605583	region_46	5889.51702324905	6336.125634098463	6064.2531272157985
chr1	606403	606903	region_47	5707.741806482104	6161.201920273658	5884.976980544766
chr1	610155	610655	region_48	4017.2322905495066	4353.656877417348	4148.564495538238
chr1	629581	630081	region_49	5598.6766764219365	6258.381761287438	5853.7753734143225
chr1	629979	630479	region_50	4380.7827240833985	4625.760432255933	4477.1771958497175
chr1	633809	634309	region_51	6489.375238579972	7055.256457600435	6710.066965138826
chr1	648553	649053	region_52	3526.439205278752	3887.193640551204	3666.539017513108
chr1	664704	665204	region_53	5962.227109955828	6511.049347923266	6175.9746358350285
