chr	start	end	name	score	strand	gene_id	gene_type	gene_name	TSS
chr1	10000	44305	GENE1;ENSPIG00000000001	0	-	ENSPIG00000000001	protein_coding	GENE1	44305
chr1	93190	123473	GENE2;ENSPIG00000000002	0	-	ENSPIG00000000002	protein_coding	GENE2	123473
chr1	148476	177546	GENE3;ENSPIG00000000003	0	+	ENSPIG00000000003	protein_coding	GENE3	148476
chr1	189656	226076	GENE4;ENSPIG00000000004	0	-	ENSPIG00000000004	protein_coding	GENE4	226076
chr1	259281	272444	GENE5;ENSPIG00000000005	0	+	ENSPIG00000000005	protein_coding	GENE5	259281
chr1	287799	311608	GENE6;ENSPIG00000000006	0	+	ENSPIG00000000006	protein_coding	GENE6	287799
chr1	323178	363664	GENE7;ENSPIG00000000007	0	-	ENSPIG00000000007	protein_coding	GENE7	363664
chr1	390160	433550	GENE8;ENSPIG00000000008	0	+	ENSPIG00000000008	protein_coding	GENE8	390160
chr1	462587	464324	GENE9;ENSPIG00000000009	0	-	ENSPIG00000000009	protein_coding	GENE9	464324
chr1	491779	499650	GENE10;ENSPIG00000000010	0	+	ENSPIG00000000010	protein_coding	GENE10	491779
chr1	523990	570506	GENE11;ENSPIG00000000011	0	+	ENSPIG00000000011	protein_coding	GENE11	523990
chr1	605487	613838	GENE12;ENSPIG00000000012	0	+	ENSPIG00000000012	protein_coding	GENE12	605487
chr1	634092	652193	GENE13;ENSPIG00000000013	0	+	ENSPIG00000000013	protein_coding	GENE13	634092
chr1	664870	667125	GENE14;ENSPIG00000000014	0	+	ENSPIG00000000014	protein_coding	GENE14	664870
chr1	695460	717333	GENE15;ENSPIG00000000015	0	-	ENSPIG00000000015	protein_coding	GENE15	717333
chr1	752953	789148	GENE16;ENSPIG00000000016	0	+	ENSPIG00000000016	protein_coding	GENE16	752953
chr1	800444	812566	GENE17;ENSPIG00000000017	0	+	ENSPIG00000000017	protein_coding	GENE17	800444
chr1	825952	849878	GENE18;ENSPIG00000000018	0	-	ENSPIG00000000018	protein_coding	GENE18	849878
chr1	864828	894858	GENE19;ENSPIG00000000019	0	-	ENSPIG00000000019	protein_coding	GENE19	894858
chr1	938921	962778	GENE20;ENSPIG00000000020	0	-	ENSPIG00000000020	protein_coding	GENE20	962778
chr1	1006888	1016024	GENE21;ENSPIG00000000021	0	+	ENSPIG00000000021	protein_coding	GENE21	1006888
chr1	1053696	1069888	GENE22;ENSPIG00000000022	0	+	ENSPIG00000000022	protein_coding	GENE22	1053696
chr1	1075362	1083834	GENE23;ENSPIG00000000023	0	-	ENSPIG00000000023	protein_coding	GENE23	1083834
chr1	1128674	1160190	GENE24;ENSPIG00000000024	0	-	ENSPIG00000000024	protein_coding	GENE24	1160190
chr1	1191399	1203666	GENE25;ENSPIG00000000025	0	-	ENSPIG00000000025	protein_coding	GENE25	1203666
chr1	1252680	1264424	GENE26;ENSPIG00000000026	0	+	ENSPIG00000000026	protein_coding	GENE26	1252680
chr1	1281456	1286839	GENE27;ENSPIG00000000027	0	-	ENSPIG00000000027	protein_coding	GENE27	1286839
chr1	1329320	1357210	GENE28;ENSPIG00000000028	0	+	ENSPIG00000000028	protein_coding	GENE28	1329320
chr1	1390350	1407891	GENE29;ENSPIG00000000029	0	+	ENSPIG00000000029	protein_coding	GENE29	1390350
chr1	1427219	1464594	GENE30;ENSPIG00000000030	0	+	ENSPIG00000000030	protein_coding	GENE30	1427219
chr1	1509246	1522321	GENE31;ENSPIG00000000031	0	-	ENSPIG00000000031	protein_coding	GENE31	1522321
chr1	1536229	1555219	GENE32;ENSPIG00000000032	0	+	ENSPIG00000000032	protein_coding	GENE32	1536229
chr1	1564957	1586949	GENE33;ENSPIG00000000033	0	-	ENSPIG00000000033	protein_coding	GENE33	1586949
chr1	1631582	1651783	GENE34;ENSPIG00000000034	0	-	ENSPIG00000000034	protein_coding	GENE34	1651783
chr1	1677389	1698772	GENE35;ENSPIG00000000035	0	-	ENSPIG00000000035	protein_coding	GENE35	1698772
chr1	1738070	1774661	GENE36;ENSPIG00000000036	0	+	ENSPIG00000000036	protein_coding	GENE36	1738070
chr1	1787954	1794826	GENE37;ENSPIG00000000037	0	-	ENSPIG00000000037	protein_coding	GENE37	1794826
chr1	1842555	1851630	GENE38;ENSPIG00000000038	0	+	ENSPIG00000000038	protein_coding	GENE38	1842555
chr1	1861514	1889085	GENE39;ENSPIG00000000039	0	+	ENSPIG00000000039	protein_coding	GENE39	1861514
chr1	1908625	1949412	GENE40;ENSPIG00000000040	0	-	ENSPIG00000000040	protein_coding	GENE40	1949412
chr1	1963726	1966021	GENE41;ENSPIG00000000041	0	-	ENSPIG00000000041	protein_coding	GENE41	1966021
chr1	2008399	2013505	GENE42;ENSPIG00000000042	0	-	ENSPIG00000000042	protein_coding	GENE42	2013505
chr1	2019858	2024104	GENE43;ENSPIG00000000043	0	+	ENSPIG00000000043	protein_coding	GENE43	2019858
chr1	2032617	2058326	GENE44;ENSPIG00000000044	0	-	ENSPIG00000000044	protein_coding	GENE44	2058326
chr1	2107263	2136759	GENE45;ENSPIG00000000045	0	+	ENSPIG00000000045	protein_coding	GENE45	2107263
chr1	2142574	2183148	GENE46;ENSPIG00000000046	0	+	ENSPIG00000000046	protein_coding	GENE46	2142574
chr1	2216573	2246441	GENE47;ENSPIG00000000047	0	+	ENSPIG00000000047	protein_coding	GENE47	2216573
chr1	2284623	2291809	GENE48;ENSPIG00000000048	0	-	ENSPIG00000000048	protein_coding	GENE48	2291809
chr1	2323110	2358991	GENE49;ENSPIG00000000049	0	+	ENSPIG00000000049	protein_coding	GENE49	2323110
chr1	2396653	2402981	GENE50;ENSPIG00000000050	0	-	ENSPIG00000000050	protein_coding	GENE50	2402981
